question,label
Чи варто мені відновлювати стосунки з колишнім?,kohannia
Що він насправді відчуває до мене?,kohannia
Чи зустріну я кохання найближчим часом?,kohannia
Чи варто освідчитися своїй дівчині цього місяця?,kohannia
Чому наші стосунки стали такими напруженими?,kohannia
Чи повернеться він до мене?,kohannia
Що заважає мені знайти партнера?,kohannia
Чи є майбутнє у наших стосунків на відстані?,kohannia
"Як зрозуміти, чи готовий він до серйозних стосунків?",kohannia
Чи варто довіряти новому знайомому?,kohannia
Що принесе цей рік у моєму особистому житті?,kohannia
Чи закохана в мене ця людина?,kohannia
Чому я постійно залучаюсь у токсичні стосунки?,kohannia
Чи варто одружуватися цього року?,kohannia
Що стоїть між мною і щастям у коханні?,kohannia
Чи варто писати першою після сварки?,kohannia
Як покращити стосунки з чоловіком?,kohannia
Чи зраджує мені партнер?,kohannia
Чи варто дати другий шанс цим стосункам?,kohannia
Що чекає на мої стосунки з ним найближчим часом?,kohannia
Чи варто мені міняти роботу цього року?,kariera
Чи отримаю я підвищення найближчим часом?,kariera
Чи варто відкривати власний бізнес?,kariera
Що заважає мені знайти нову роботу?,kariera
Чи вдасться мені пройти співбесіду?,kariera
Чи варто переїжджати заради роботи в інше місто?,kariera
Як складеться моя кар'єра цього року?,kariera
Чи варто мені звільнятися з нинішньої роботи?,kariera
Чи принесе мій проєкт успіх?,kariera
Чи варто інвестувати час у нову спеціальність?,kariera
Що заважає мені досягти професійного визнання?,kariera
Чи стабільна моя поточна робота?,kariera
Чи варто просити підвищення зарплати?,kariera
Чи вдасться домовитися з новим партнером по бізнесу?,kariera
Чи варто повертатися до попередньої професії?,kariera
Що принесе мені співпраця з цією компанією?,kariera
Чи стане цей рік вдалим для кар'єрного росту?,kariera
Чи варто брати додаткові обов'язки на роботі?,kariera
Чи знайду я роботу мрії найближчим часом?,kariera
Чи варто змінювати сферу діяльності повністю?,kariera
Чи покращиться моє самопочуття найближчим часом?,zdorovia
Що варто знати про моє здоров'я цього місяця?,zdorovia
Чи варто мені звернутися до лікаря найближчим часом?,zdorovia
Чому я постійно відчуваю втому?,zdorovia
Чи вдасться мені відновитися після хвороби швидко?,zdorovia
Що впливає на мій емоційний стан останнім часом?,zdorovia
Чи варто змінити спосіб життя заради здоров'я?,zdorovia
Чи стабілізується мій психологічний стан?,zdorovia
Що допоможе мені впоратися зі стресом?,zdorovia
Чи варто почати займатися спортом цього місяця?,zdorovia
Чи покращиться сон найближчим часом?,zdorovia
Що заважає мені відновити енергію?,zdorovia
Чи варто переглянути своє харчування?,zdorovia
Чи вплине зміна погоди на моє самопочуття?,zdorovia
Що приховує моя тривожність останнім часом?,zdorovia
Чи вдасться відновити внутрішню рівновагу через тіло?,zdorovia
Чи варто взяти відпустку заради здоров'я?,zdorovia
Що допоможе мені відновити сили після вигорання?,zdorovia
Чи покращиться моє фізичне здоров'я цього кварталу?,zdorovia
Чи варто звернути увагу на психологічне здоров'я?,zdorovia
Чи покращиться моє фінансове становище найближчим часом?,finansy
Чи варто інвестувати гроші зараз?,finansy
Чи вдасться мені розрахуватися з боргами цього року?,finansy
Що заважає мені накопичити заощадження?,finansy
Чи варто брати кредит на новий проєкт?,finansy
Чи стабілізуються мої доходи найближчим часом?,finansy
Чи вдасться отримати додатковий дохід цього місяця?,finansy
Що принесе мені ця фінансова угода?,finansy
Чи варто продавати нерухомість зараз?,finansy
Чи вдасться повернути позичені гроші?,finansy
Чи варто змінювати банк для заощаджень?,finansy
Що впливає на мою фінансову нестабільність?,finansy
Чи вдасться уникнути великих витрат цього місяця?,finansy
Чи варто вкладати гроші у спільний бізнес?,finansy
Чи покращиться моє матеріальне становище цього року?,finansy
Чи варто очікувати несподіваний прибуток?,finansy
Що стоїть на заваді моєму фінансовому благополуччю?,finansy
Чи вдасться накопичити на велику покупку цього року?,finansy
Чи варто діяти обережніше з витратами?,finansy
Чи принесе мені успіх новий фінансовий план?,finansy
Який мій справжній життєвий шлях?,dukhovnist
Що я маю зрозуміти про себе цього року?,dukhovnist
Чи йду я вірним духовним шляхом?,dukhovnist
Що заважає мені знайти внутрішню гармонію?,dukhovnist
Яке послання несе мені всесвіт зараз?,dukhovnist
Чи варто звернути більше уваги на духовний розвиток?,dukhovnist
Що приховує моя інтуїція останнім часом?,dukhovnist
Чи готова я до особистісних змін?,dukhovnist
Який урок я маю винести з цього періоду життя?,dukhovnist
Що допоможе мені знайти сенс життя?,dukhovnist
Чи варто мені більше довіряти собі?,dukhovnist
Що стримує мій особистісний розвиток?,dukhovnist
Яка моя справжня мета в цьому житті?,dukhovnist
Чи варто практикувати медитацію частіше?,dukhovnist
"Що я маю відпустити, щоб рухатися далі?",dukhovnist
Чи знаходжусь я на правильному життєвому етапі?,dukhovnist
Що допоможе мені прийняти важливе рішення про себе?,dukhovnist
Чи варто прислухатися до знаків долі?,dukhovnist
Що приховує моя підсвідомість зараз?,dukhovnist
Який духовний урок несе ця складна ситуація?,dukhovnist
Що чекає на мене найближчим часом?,zagalne
Чи варто мені щось змінити у своєму житті зараз?,zagalne
Що я маю знати про наступний місяць?,zagalne
Чи вдасться мені реалізувати свої плани цього року?,zagalne
Що принесе мені цей тиждень?,zagalne
Чи варто приймати важливе рішення зараз?,zagalne
Що стоїть на заваді моїм планам?,zagalne
Чи буде цей рік вдалим для мене загалом?,zagalne
Що мені варто знати про поточну ситуацію?,zagalne
Чи варто чекати на зміни найближчим часом?,zagalne
Що допоможе мені досягти бажаного результату?,zagalne
Чи варто діяти зараз чи почекати?,zagalne
Що приховує від мене поточна ситуація?,zagalne
"Чи складеться все так, як я планую?",zagalne
Що я маю врахувати перед прийняттям рішення?,zagalne
Чи варто довіряти цій людині загалом?,zagalne
Що чекає на мене в цій невизначеній ситуації?,zagalne
Чи правильний вибір я зробила нещодавно?,zagalne
Що допоможе мені зрозуміти цю ситуацію краще?,zagalne
Чи варто зараз щось розпочинати?,zagalne
